Gene	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D3
409663	0	0	0	0	0	0	0	0	0	0	0
409203	8763	3511	9134	7409	8024	10473	4547	4212	7535	3887	5488
725343	4198	2010	4166	3488	3801	4377	2007	2345	3654	1640	2413
409404	2332	1075	2507	2073	2281	2748	1292	1469	2275	1161	1703
551807	14731	6212	14787	12577	14005	15764	7673	8407	13820	6556	9292
726280	10106	3300	8264	8978	9299	9627	5258	5704	9473	4260	6585
724873	7200	3619	7931	6516	7649	8760	4144	4181	7504	3562	5165
100577250	254	115	259	221	250	263	145	162	262	102	160
412513	2431	1203	2778	2134	2530	2989	1421	1700	2616	1219	1690
414035	2686	1318	2867	2338	2786	2841	1492	1689	2791	1162	1697
410582	3	1	6	5	5	4	2	0	3	2	2
725781	4127	1966	4455	3535	4005	4558	2360	2572	4041	1885	2830
100578640	2536	899	2363	2192	2251	2506	1482	1288	2215	1064	1548
724363	0	0	0	0	0	0	0	0	0	0	0
726034	3395	1556	3270	2971	3152	3379	1770	2160	3029	1415	2058
725997	38	20	19	10	25	35	7	16	22	5	11
413002	12430	4360	11374	10205	11766	12225	5838	5878	10722	4691	7040
725947	524	277	618	455	476	587	294	344	495	227	389
409281	0	0	0	0	0	0	0	0	0	0	0
724853	362	127	331	333	331	342	221	183	325	155	204
552567	3571	1809	4028	2941	3657	4305	2043	2078	3777	1557	2496
100578800	102	25	55	79	78	85	43	35	82	39	71
408649	3909	1138	3209	3476	3667	3728	1821	1608	3390	1521	2379
100577497	41	18	55	37	45	67	23	29	42	27	24
727025	0	0	0	0	0	0	0	0	0	0	0
100578319	190	75	206	196	195	199	90	120	149	92	102
726112	0	0	0	0	0	0	0	0	0	0	0
551658	7401	3775	8604	7153	8250	8437	4472	4822	8354	3407	5468
100577374	247	57	184	189	215	216	108	94	207	71	127
100577265	43	19	44	47	34	59	16	33	43	20	36
725395	6190	2772	6497	5335	5984	6812	3663	3824	6184	2973	4148
100578675	167	54	89	148	106	110	100	82	106	65	62
552497	2446	1009	2313	2117	2470	2851	1287	1258	2346	1183	1698
413132	4199	1694	4241	3514	4319	4634	2321	2268	4396	2084	3113
552676	3725	1711	4146	3056	3394	4317	2076	2416	3549	1616	2352
410266	1192	570	1242	911	1176	1372	666	796	1141	501	831
100578343	468	200	491	359	422	563	210	259	424	154	311
100578015	12575	4948	11960	10483	12057	13023	6057	7155	10692	5104	7688
100576855	876	415	976	654	797	786	577	690	850	416	508
100576843	1899	762	1972	1555	1737	2015	840	1131	1593	753	1128
100577716	21	7	20	24	29	26	17	15	23	12	24
413210	635	252	1022	522	861	1000	226	269	622	190	564
408762	3143	1380	3404	2626	3013	3414	1737	1844	3224	1367	2271
406094	7795	2668	7992	4054	6237	9115	1912	3534	7495	843	3751
412870	714	370	837	646	700	869	431	501	794	338	528
410323	923	342	965	865	875	1036	465	549	831	374	548
100578437	359	84	238	282	279	304	166	144	302	132	212
551960	1505	692	1662	1291	1417	1664	881	977	1492	697	972
100576857	0	0	0	0	0	0	0	0	0	0	0
100576558	4	1	2	4	3	1	4	1	11	4	3
409777	214	110	247	211	219	284	124	118	196	86	148
727387	0	0	0	0	0	0	0	0	0	0	0
412224	10515	4377	10705	9492	9981	12278	5607	5856	10042	4824	7349
724192	33157	12354	30567	27529	32282	34372	16353	16642	31103	12646	20677
100578523	183	109	241	147	197	232	85	99	219	83	145
413215	777	298	888	696	855	940	435	423	767	363	556
551263	107	80	145	93	188	145	105	92	225	98	103
100577103	0	0	0	0	0	1	1	0	0	0	2
725984	135	112	199	141	289	174	134	163	257	84	151
409218	5936	2696	6493	5186	5849	6852	3189	3647	5986	2442	4176
100577680	16	6	18	9	8	9	10	8	11	5	8
724179	2807	1336	3167	2356	2851	2764	1766	1940	2849	1354	2050
551870	5442	2217	5612	4378	4424	5644	2792	3255	4793	2100	3226
551591	4028	1586	3747	3343	3792	4412	1968	1971	3918	1773	2542
412607	5828	2558	5798	4885	5685	6318	3109	3289	5614	2546	3824
100576338	6	2	5	4	7	11	3	6	10	1	9
724927	9411	4089	9940	8037	9360	10808	5342	5227	9269	4549	6788
100576096	238	65	122	169	156	165	97	80	116	89	91
725253	1696	840	1954	1462	1450	1976	1071	1182	1760	787	1147
413204	168	51	149	147	130	148	69	77	131	55	74
550906	2240	582	1561	1778	1500	1667	1206	1227	1828	753	1132
725400	821	420	661	746	907	782	454	564	709	343	374
725756	1313	664	1612	988	1328	1401	516	552	1003	337	783
100576967	0	0	0	0	0	0	0	0	0	0	0
551879	119	115	25	15	14	46	17	10	243	9	101
411619	6746	3000	7084	5780	6724	7971	3766	3760	6736	3190	4496
100315679	2	0	1	3	3	3	1	2	3	0	1
413288	934	334	753	806	853	842	506	571	874	411	567
