,NCBI GeneID,Gene symbol,avg. control,avg. Nosema,avg. BQCV,avg. both,log(FC) Nosema,log(FC) BQCV,log(FC) both,norm. log(FC) Nosema,norm. log(FC) BQCV,norm. log(FC) both
111,100576092,unnamed,0.6666666666666666,0.3333333333333333,0.0,0.5,-0.6931451805619453,-13.815510557964274,-0.28768073911933645,0.4195288275749247,-1.0,0.5045820896600051
122,100576441,unnamed,1.3333333333333333,1.0,0.3333333333333333,0.0,-0.28768073911933645,-1.3862903611278907,-13.815510557964274,0.4633904673502902,0.43666443117490994,-1.0
158,552478,Obp17,5.666666666666667,4.0,3.3333333333333335,0.0,-0.34830527760255264,-0.5306265510636153,-13.815510557964274,0.45683232957860853,0.5355686054911588,-1.0
274,100577100,unnamed,0.3333333333333333,0.0,0.0,0.5,-13.815510557964274,-13.815510557964274,0.40546577477460877,-1.0,-1.0,0.5816747086743492
302,100576434,LOC100576434,1.6666666666666667,4.333333333333333,2.3333333333333335,0.0,0.955511829642747,0.3364729509066722,-13.815510557964274,0.5978744295651912,0.6357946046320595,-1.0
308,408608,LOC408608,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.0,9.999994999180668e-07,-1.6094329124466005,-13.815510557964274,0.4945108111374954,0.41087190666538276,-1.0
341,100315669,Mir71,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
349,725003,LOC725003,0.3333333333333333,0.0,0.3333333333333333,0.0,-13.815510557964274,9.999994999180668e-07,-13.815510557964274,-1.0,0.5969026004434619,-1.0
388,100577925,unnamed,1.3333333333333333,1.0,0.0,0.5,-0.28768073911933645,-13.815510557964274,-0.9808265863486152,0.4633904673502902,-1.0,0.42748954479293566
493,100577609,unnamed,1.6666666666666667,1.0,0.0,1.0,-0.5108239571007129,-13.815510557964274,-0.5108239571007129,0.4392516614648909,-1.0,0.4797638228943941
541,100576262,LOC100576262,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,9.999994999180668e-07,0.6931476805598203,-13.815510557964274,0.4945108111374954,0.677021800665004,-1.0
902,100576634,unnamed,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
949,725058,LOC725058,0.3333333333333333,0.0,0.3333333333333333,0.0,-13.815510557964274,9.999994999180668e-07,-13.815510557964274,-1.0,0.5969026004434619,-1.0
972,726078,unnamed,1.3333333333333333,0.0,0.0,0.5,-13.815510557964274,-13.815510557964274,-0.9808265863486152,-1.0,-1.0,0.42748954479293566
1042,100578562,LOC100578562,1.0,0.0,0.0,0.5,-13.815510557964274,-13.815510557964274,-0.6931451805619453,-1.0,-1.0,0.4594858292281425
1171,100576613,unnamed,0.3333333333333333,0.0,0.3333333333333333,0.0,-13.815510557964274,9.999994999180668e-07,-13.815510557964274,-1.0,0.5969026004434619,-1.0
1201,100577125,LOC100577125,2.0,0.6666666666666666,0.6666666666666666,0.0,-1.0986092886726098,-1.0986092886726098,-13.815510557964274,0.3756672238581731,0.46991681207841607,-1.0
1240,100576253,LOC100576253,0.3333333333333333,0.0,0.3333333333333333,0.5,-13.815510557964274,9.999994999180668e-07,0.40546577477460877,-1.0,0.5969026004434619,0.5816747086743492
1255,100577915,LOC100577915,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
1366,100577049,unnamed,7.333333333333333,4.333333333333333,4.0,0.0,-0.5260914035905186,-0.6061339702386626,-13.815510557964274,0.4376000857167368,0.5268408798816138,-1.0
