,Gene,Hygiene,Chromosome,Hygienic FPKM,Non-hygienic FPKM,q_value,Gene product,FC
0,Cac,H,Chr3,7.79884,5.12143,0.0435185,cacophony,1.5227856282327397
1,CPR5,H,Chr16,72.64,43.5375,0.0435185,cuticular protein 5,1.6684467413149584
2,CYP6AS1,H,Chr13,2.04404,0.281032,0.00755,cytochrome P450 6AS1,7.273335420877337
3,Gat-a,H,Chr1,11.793,6.29334,0.00755,GABA neurotransmitter transporter-1A,1.8738857268159674
4,LOC100576698,H,Unplaced scaffold,21.7757,11.0732,0.00755,hypothetical LOC100576698,1.966522775710725
5,LOC100576840,H,Chr12,23.4989,9.15222,0.0239083,hypothetical protein LOC100576840,2.5675628426764217
6,LOC100577331,H,Chr10,39.1592,8.77503,0.02869,hypothetical protein LOC100577331,4.462571637931722
7,LOC100578672,H,Chr4,4.01496,1.02343,0.00755,hypothetical protein LOC100578672,3.9230431001631767
8,LOC100578804,H,Chr6,2.30117,0.888719,0.00755,hypothetical LOC100578804,2.5893111320901205
9,LOC408734,H,Chr3,6.43168,2.8719,0.00755,succinate dehydrogenase,2.239520874682266
10,LOC410149,H,Chr12,217.491,122.044,0.0138823,plasma glutamate carboxypeptidase-like,1.7820704008390418
11,LOC410207,H,Chr10,2.67182,1.459,0.00755,dihydropyrimidine dehydrogenase,1.8312679917751884
12,LOC410689,H,Chr1,18.0555,11.8371,0.0457819,hypothetical protein LOC410479,1.525331373393821
13,LOC412162,H,Chr7,1.65605,0.661079,0.0367372,armadillo repeat-containing protein 4-like,2.505071254721448
14,LOC551908,H,Chr15,2.32533,0.728909,0.00755,hypothetical protein LOC551908,3.190151308325182
15,LOC552190,H,Chr12,8.46323,5.19949,0.0367372,hypothetical LOC552190,1.6277038709565745
16,LOC552369,H,Unplaced scaffold,5.3599,2.915,0.018986,synaptotagmin-like protein 5-like,1.838730703259005
17,LOC552388,H,Unplaced scaffold,12.1403,5.06737,0.00755,major royal jelly protein 1-like,2.395779270114477
18,LOC552604,H,Unplaced scaffold,2.69267,1.2569,0.0326848,SLIT-ROBO Rho GTPase-activating protein 1-like,2.142310446336224
