NCBI GeneID	Symbol	Description	Gene Type	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
406130	Melt	melittin	PROTEIN_CODING			NC_037641.1	12397548	12399076
406088	Vg	vitellogenin	PROTEIN_CODING			NC_037641.1	5029485	5035661
406141	Pla2	phospholipase A2	PROTEIN_CODING			NC_037650.1	3562941	3564376
406074	Csd	complementary sex determiner	PROTEIN_CODING			NC_037640.1	11771679	11781139
544668	28S rRNA	28S ribosomal RNA	rRNA					
406135	Apamin	apamin protein	PROTEIN_CODING			NC_037649.1	6649292	6649822
406121	Mrjp3	major royal jelly protein 3	PROTEIN_CODING			NC_037648.1	2268450	2272030
406090	Mrjp1	major royal jelly protein 1	PROTEIN_CODING			NC_037648.1	2274667	2277905
406110	TyrR	tyramine receptor	PROTEIN_CODING	42452	NCBI Ortholog	NC_037638.1	15771885	15849170
413961	Lop1	long wavelength sensitive opsin 1	PROTEIN_CODING			NC_037652.1	7414822	7417248
406143	Def1	defensin 1	PROTEIN_CODING			NC_037643.1	8673495	8675023
406068	Oa1	octopamine receptor	PROTEIN_CODING	43982	NCBI Ortholog	NC_037652.1	3310369	3326664
406070	DopR2	dopamine receptor 2	PROTEIN_CODING	43484	NCBI Ortholog	NC_037652.1	6339308	6402471
406082	nAChRa8	nicotinic acetylcholine receptor alpha8 subunit	PROTEIN_CODING	42920	NCBI Ortholog	NC_037642.1	4710530	4714157
406102	Obp1	odorant binding protein 1	PROTEIN_CODING			NC_037639.1	14654212	14655874
406134	Mcdp	mast cell-degranulating peptide	PROTEIN_CODING			NC_037649.1	6648493	6649822
408521	Mblk-1	transcription factor mblk-1-like	PROTEIN_CODING	44936	NCBI Ortholog	NC_037652.1	6989419	7038341
406112	Per	period circadian protein	PROTEIN_CODING	31251	NCBI Ortholog	NC_037649.1	10032689	10051762
724970	Fem	feminizer	PROTEIN_CODING			NC_037640.1	11792751	11800256
406078	Tsf1	transferrin 1	PROTEIN_CODING	32821	NCBI Ortholog	NC_037652.1	7734777	7737849
406103	Obp2	odorant binding protein 2	PROTEIN_CODING			NC_037646.1	11974257	11975390
406131	Hbg3	alpha-glucosidase	PROTEIN_CODING			NC_037643.1	4602439	4613520
408363	Ac3	adenylate cyclase 3	PROTEIN_CODING	35419	NCBI Ortholog	NC_037648.1	12956997	12973602
544669	18S rRNA	18S ribosomal RNA	rRNA					
411257	Hbg2	alpha-glucosidase	PROTEIN_CODING			NC_037645.1	5359323	5361065
551648	Hex110	hexamerin 110	PROTEIN_CODING			NC_037648.1	13517503	13521591
100576395	Kr-h1	kruppel homolog 1	PROTEIN_CODING			NC_037643.1	16501760	16510451
406083	Tk	tachykinin	PROTEIN_CODING	41456	NCBI Ortholog	NC_037644.1	3706639	3736958
406155	PPO	phenoloxidase subunit A3	PROTEIN_CODING	35910	NCBI Ortholog	NC_037651.1	6001332	6004996
406094	CSP3	chemosensory protein 3	PROTEIN_CODING			NC_037642.1	2779893	2781325
406117	HEX70b	hexamerin 70b	PROTEIN_CODING			NC_037645.1	11855314	11859108
551691	Camkii	calcium/calmodulin-dependent protein kinase II	PROTEIN_CODING	43828	NCBI Ortholog	NC_037641.1	5243020	5370926
411830	Acph-1	venom acid phosphatase	PROTEIN_CODING			NC_037642.1	13090287	13099780
406079	Nmdar1	NMDA receptor 1	PROTEIN_CODING	40665	NCBI Ortholog	NC_037640.1	4398525	4406208
406116	Mrjp5	major royal jelly protein 5	PROTEIN_CODING			NC_037648.1	2291758	2298839
544670	EF1a-F2	elongation factor 1-alpha F2	PROTEIN_CODING			NC_037642.1	12770336	12774960
406072	Amih	hyperpolarization-activated ion channel	PROTEIN_CODING	36589	NCBI Ortholog	NC_037645.1	323612	504123
406145	LOC406145	secapin	PROTEIN_CODING			NC_037642.1	2354864	2356029
406146	LOC406146	hyaluronoglucosaminidase	PROTEIN_CODING			NC_037651.1	8399536	8411645
409227	Usp	ultraspiracle	PROTEIN_CODING	31165	NCBI Ortholog	NC_037646.1	7403312	7457844
410795	LOC410795	trehalase	PROTEIN_CODING			NC_037639.1	15850478	15864798
503505	LOC503505	venom protein 2	PROTEIN_CODING			NC_037638.1	6234443	6275806
551341	Cbs	cystathionine beta-synthase	PROTEIN_CODING	33081	NCBI Ortholog	NC_037641.1	5699459	5702045
406140	Apid1	apidaecin 1	PROTEIN_CODING			NC_037653.1	4518604	4520315
406124	LOC406124	gamma-aminobutyric acid receptor subunit beta	PROTEIN_CODING	39054	NCBI Ortholog	NC_037644.1	9455806	9542487
408995	Dop3	D2-like dopamine receptor	PROTEIN_CODING	33007	NCBI Ortholog	NC_037646.1	10181294	10324139
724880	Apime-ASTA	allatostatin A	PROTEIN_CODING	42947	NCBI Ortholog	NC_037645.1	4113573	4126766
732493	Mir124	microRNA mir-124	ncRNA			NC_037648.1	12147764	12147840
100049563	Kakusei	kakusei non-coding nuclear RNA	ncRNA			NC_037639.1	14402911	14410012
406111	Dop1	dopamine receptor, D1	PROTEIN_CODING			NC_037652.1	7337783	7381156
726831	Ammar1	Ammar1 transposase	OTHER					
406067	Mrjp8	major royal jelly protein 8	PROTEIN_CODING			NC_037648.1	2312803	2315913
406128	Blop	blue-sensitive opsin	PROTEIN_CODING	34615	NCBI Ortholog	NC_037651.1	10150063	10152653
408385	Ef-1a-f1	translation elongation factor eEF-1 alpha chain	PROTEIN_CODING			NC_037649.1	11332076	11338405
443552	Cat	catalase	PROTEIN_CODING	40048	NCBI Ortholog	NC_037643.1	8659532	8670508
406133	Mrjp4	major royal jelly protein 4	PROTEIN_CODING			NC_037648.1	2280526	2284092
406151	mGlutR1	metabotropic glutamate receptor 1	PROTEIN_CODING	43838	NCBI Ortholog	NC_037648.1	14015127	14045583
725074	LOC725074	omega-conotoxin-like protein 1	PROTEIN_CODING			NC_037642.1	3293169	3296782
406091	Mrjp2	major royal jelly protein 2	PROTEIN_CODING			NC_037648.1	2301533	2304856
726057	ILP-2	insulin-like peptide 2	PROTEIN_CODING			NC_037651.1	5016214	5017942
406066	Jhe	juvenile hormone esterase	PROTEIN_CODING			NC_037640.1	9456503	9459237
406084	Ecr	ecdysone receptor	PROTEIN_CODING			NC_037645.1	9626947	9747799
406077	Antp	homeotic protein antennapedia	PROTEIN_CODING			NC_037653.1	3881429	4037081
408270	CytC	mitochondrial cytochrome C	PROTEIN_CODING			NC_037647.1	11824493	11827235
409469	Cyp4g11	cytochrome P450 4G11	PROTEIN_CODING	32093	NCBI Ortholog	NC_037653.1	2830988	2835517
413045	Pburs	bursicon subunit beta	PROTEIN_CODING	34845	NCBI Ortholog	NC_037643.1	16327687	16328299
406129	Itpr1	inositol 1,4,5,-tris-phosphate receptor	PROTEIN_CODING					
724217	Nrx-1	neurexin 1	PROTEIN_CODING	42646	NCBI Ortholog	NC_037642.1	2349284	2687281
410082	Sod2	superoxide dismutase 2, mitochondrial	PROTEIN_CODING	36878	NCBI Ortholog	NC_037648.1	11069598	11071864
100049571	Ancr-1	AncR-1 non-coding nuclear RNA	ncRNA			NC_037642.1	13480118	13487797
406154	PRF	profilin	PROTEIN_CODING	33834	NCBI Ortholog	NC_037645.1	2754403	2759443
503862	Crz	corazonin	PROTEIN_CODING			NC_037638.1	25171162	25173330
406093	LOC406093	apisimin	PROTEIN_CODING			NC_037643.1	15024551	15025504
406104	AChE-2	acetylcholinesterase 2	PROTEIN_CODING			NC_037645.1	7426943	7561836
409418	Hsc70-4	heat shock protein cognate 4	PROTEIN_CODING			NC_037638.1	5356800	5361132
677673	Obp14	odorant binding protein 14	PROTEIN_CODING			NC_037652.1	1924191	1926002
726848	Hex70a	hexamerin 70a	PROTEIN_CODING			NC_037645.1	11848693	11852800
409398	Sod1	superoxide dismutase 1	PROTEIN_CODING	39251	NCBI Ortholog	NC_037645.1	529896	531140
732494	Mir125	microRNA mir-125	ncRNA			NC_037645.1	7659889	7659995
408489	EphR	Eph receptor tyrosine kinase	PROTEIN_CODING	43803	NCBI Ortholog	NC_037651.1	9865919	9943024
